CATEGORY CODE,TAG 1,TAG 2,TAG 3,TAG 4,ALL TAGS
1,collection_ready-to-wear,collection_jackets,collection_new arrivals,,"collection_ready-to-wear, collection_jackets, collection_new arrivals"
2,collection_ready-to-wear,collection_jackets,collection_new arrivals,,"collection_ready-to-wear, collection_jackets, collection_new arrivals"
3,collection_ready-to-wear,collection_dresses,collection_new arrivals,,"collection_ready-to-wear, collection_dresses, collection_new arrivals"
4,collection_ready-to-wear,collection_tops,collection_new arrivals,,"collection_ready-to-wear, collection_tops, collection_new arrivals"
5,collection_ready-to-wear,collection_skirts,collection_new arrivals,,"collection_ready-to-wear, collection_skirts, collection_new arrivals"
6,collection_ready-to-wear,collection_pants,collection_new arrivals,,"collection_ready-to-wear, collection_pants, collection_new arrivals"
70,collection_accessories,collection_Bags,collection_new arrivals,,"collection_accessories, collection_Bags, collection_new arrivals"
71,collection_accessories,collection_Bags,collection_new arrivals,,"collection_accessories, collection_Bags, collection_new arrivals"
76,collection_accessories,collection_belts,collection_new arrivals,,"collection_accessories, collection_belts, collection_new arrivals"
81,collection_ready-to-wear,collection_knitwear,collection_jackets,collection_new arrivals,"collection_ready-to-wear, collection_knitwear, collection_jackets, collection_new arrivals"
82,collection_ready-to-wear,collection_knitwear,collection_jackets,collection_new arrivals,"collection_ready-to-wear, collection_knitwear, collection_jackets, collection_new arrivals"
83,collection_ready-to-wear,collection_knitwear,collection_dresses,collection_new arrivals,"collection_ready-to-wear, collection_knitwear, collection_dresses, collection_new arrivals"
84,collection_ready-to-wear,collection_knitwear,collection_tops,collection_new arrivals,"collection_ready-to-wear, collection_knitwear, collection_tops, collection_new arrivals"
85,collection_ready-to-wear,collection_knitwear,collection_skirts,collection_new arrivals,"collection_ready-to-wear, collection_knitwear, collection_skirts, collection_new arrivals"
86,collection_ready-to-wear,collection_knitwear,collection_pants,collection_new arrivals,"collection_ready-to-wear, collection_knitwear, collection_pants, collection_new arrivals"
88,collection_ready-to-wear,collection_knitwear,collection_tops,collection_new arrivals,"collection_ready-to-wear, collection_knitwear, collection_tops, collection_new arrivals"
9,collection_accessories,collection_SHOES,collection_new arrivals,,"collection_accessories, collection_SHOES, collection_new arrivals"
79,collection_accessories,collection_Jewelry,collection_new arrivals,,"collection_accessories, collection_Jewelry, collection_new arrivals"
