IMAGE,Season,Product ID,CATEGORY CODE,KNIT CATEGORY CODE,TYPE,SEASON CODE,Style,Fabric,Colour,Description,FABRIC CONTENT,COUNTRY OF ORIGIN,PRODUCT DETAILS,FLAT,ON MODEL,RRP (USD),TOTAL DTC UNITS,FLAT IMAGE UPLOAD,ON MODEL IMAGES UPLOAD,DESCRIPTION (REVIEW),TAGS,SWATCH,SIZE GUIDE,DETAILS,GET THE LOOK IMAGE,GET THE LOOK PRODUCTS
Picture,CORE READY TO WEAR,CORE-2003 AWS680 000406 BERRY BLUE,2,N/A,READY TO WEAR,CORE,2003,AWS680,000406 BERRY BLUE,FENICE JACKET,#N/A,ITALY,,C,reshoot?,1645,15,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-2003 AYS089 000001 BLACK,2,N/A,READY TO WEAR,CORE,2003,AYS089,000001 BLACK,FENICE JACKET,#N/A,ITALY,,0,reshoot?,1545,18,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-2003 AYS089 000100 OPTIC WHITE,2,N/A,READY TO WEAR,CORE,2003,AYS089,000100 OPTIC WHITE,FENICE JACKET,#N/A,ITALY,,0,reshoot?,1545,17,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-2005 AWS680 000406 BERRY BLUE,2,N/A,READY TO WEAR,CORE,2005,AWS680,000406 BERRY BLUE,INDIANA JACKET,#N/A,ITALY,,Y,reshoot?,1745,9,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-2005 AYS089 000001 BLACK,2,N/A,READY TO WEAR,CORE,2005,AYS089,000001 BLACK,INDIANA JACKET,#N/A,ITALY,,0,reshoot?,1645,8,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-2005 AYS089 000100 OPTIC WHITE,2,N/A,READY TO WEAR,CORE,2005,AYS089,000100 OPTIC WHITE,INDIANA JACKET,#N/A,ITALY,,0,reshoot?,1645,7,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-2010 DCS008 000406 BERRY BLUE,2,N/A,READY TO WEAR,CORE,2010,DCS008,000406 BERRY BLUE,BERNADETTE JACKET,#N/A,ITALY,,0,Y,1695,14,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-3001 DCS016 000406 BERRY BLUE,3,N/A,READY TO WEAR,CORE,3001,DCS016,000406 BERRY BLUE,LYDIA DRESS,#N/A,ITALY,,0,reshoot?,1345,15,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-3001 SCS011 000001 BLACK,3,N/A,READY TO WEAR,CORE,3001,SCS011,000001 BLACK,LYDIA DRESS,#N/A,ITALY,,0,reshoot?,1245,6,,,,,,,,,
Picture,CORE READY TO WEAR,CORE-3025 DCS008 000406 BERRY BLUE,3,N/A,READY TO WEAR,CORE,3025,DCS008,000406 BERRY BLUE,KIERAN DRESS,#N/A,ITALY,,C,reshoot?,1345,12,,,,,,,,,
