Product ID Tag,Handle,CPI,Product ID Not Found in Tracker,No Images in Manifest,Missing Ghost Image,Inconsistent Filenames,Ghost Not First,Override to Import,Image Position Override
S126-7689 LLS036 000001 BLACK,abstract-buckle-belt-black,7689-000001,,,,X,,x,last
S126-7689 LUC006 000214 BURNT CYPRESS,abstract-buckle-belt-burnt-cypress,7689-000214,,,,X,,x,last
S126-7689 LLS036 000102 IVORY,abstract-buckle-belt-ivory,7689-000102,,,,X,,x,last
S126-8806 KWS083 000181 BONE,amory-sweater-bone,8806-000181,,,,X,,x,last
S126-2012 LUS003 000265 GOLDEN OAK,astley-jacket-golden-oak,2012-000265,,X,,,,,
S126-3005 BSP032 371182 TAHINI GOOSE,baker-dress-tahini-goose,3005-371182,,,,X,,x,first
S126-8415 KWS083 000102 IVORY,banks-top-ivory,8415-000102,,,X,,,,
S126-8415 KWS083 000008 JET MELANGE,banks-top-jet-melange,8415-000008,,,X,,,,
S126-7682 LLC053 000001 BLACK PATENT CROC,bean-skinny-belt-black-patent-croc,7682-000001,,,,X,,x,last
S126-7682 LLS036 000102 IVORY,bean-skinny-belt-ivory,7682-000102,,,,X,,x,last
S126-3014 BYP057 373398 DESERT SAGE ANIMAL,birdy-dress-desert-sage-animal,3014-373398,,,,X,,x,first
S126-3017 BSP038 417102 IVORY APPLIQUE FLOWERS,carrol-dress-ivory-applique-flowers,3017-417102,,,,X,,x,first
S126-4015 BSP031 418001 BLACK FLOWERS,chika-top-black-flowers,4015-418001,,,,X,,x,first
S126-4015 BYP058 373102 IVORY ANIMAL,chika-top-ivory-animal,4015-373102,,X,,,,,
S126-7690 LLS036 000001 BLACK,classic-buckle-belt-black,7690-000001,,,,X,,x,last
S126-7690 LUC004 000265 GOLDEN OAK,classic-buckle-belt-golden-oak,7690-000265,,,,X,,x,last
S126-7690 ELP013 000907 PYTHON,classic-buckle-belt-python,7690-000907,,,,X,,x,last
S126-3029 JYP012 373001 BLACK ANIMAL,claudia-dress-black-animal,3029-373001,,,,X,,x,first
S126-8102 KWS089 000406 BERRY BLUE,conroy-jacket-berry-blue,8102-000406,,,,X,,x,first
