IMAGE,Season,Product ID,CATEGORY CODE,KNIT CATEGORY CODE,TYPE,SEASON CODE,Style,Fabric,Colour,Description,FLAT,ON MODEL,Country of Origin,Textile Content,Product Description
#VALUE!,SS26 READY TO WEAR,S226-2003 AIM001 000479 MIDNIGHT MELANGE,2,N/A,READY TO WEAR,S226,2003,AIM001,000479 MIDNIGHT MELANGE,FENICE JACKET,N,N,ITALY,57% Linen 41% Cotton 2% Elastane,"The Fenice Jacket is a classic suiting style, cut in a signature linen blend to a slim silhouette with structured shoulders and a neatly tailored waist. It features high notched lapels, a single jetted chest pocket, and front flap pockets."
#VALUE!,SS26 READY TO WEAR,S226-2003 AIQ003 000147 MORTAR MELANGE,2,N/A,READY TO WEAR,S226,2003,AIQ003,000147 MORTAR MELANGE,FENICE JACKET,Y,N,ITALY,68% Linen 32% Viscose,"The Fenice Jacket is a classic suiting style, cut in a signature linen blend to a slim silhouette with structured shoulders and a neatly tailored waist. It features high notched lapels, a single jetted chest pocket, and front flap pockets."
#VALUE!,SS26 READY TO WEAR,S226-2003 AWQ015 000182 TAHINI MELANGE,2,N/A,READY TO WEAR,S226,2003,AWQ015,000182 TAHINI MELANGE,FENICE JACKET,Y,Y,ITALY,100% Virgin wool,"The Fenice Jacket is a signature Altuzarra silhouette, crafted in virgin wool for a slim fit with structured shoulders and a neatly tailored waist. It features high notched lapels, a single jetted chest pocket, and front flap pockets."
#VALUE!,SS26 READY TO WEAR,S226-2005 AIS005 000400 NAVY,2,N/A,READY TO WEAR,S226,2005,AIS005,000400 NAVY,INDIANA JACKET,Y,N,ITALY,67% Linen 33% Viscose,"The Indiana Jacket is a signature style, crafted in a linen blend and tailored in a timeless double-breasted design with notched lapels"
#VALUE!,SS26 READY TO WEAR,S226-3001 SCP015 416102 IVORY ALLOVER PETALS,3,N/A,READY TO WEAR,S226,3001,SCP015,416102 IVORY ALLOVER PETALS,LYDIA DRESS,Y,N,PORTUGAL,97% Cotton 3% Spandex,"The Lydia dress is designed from a fluid fabric to a relaxed midi silhouette with an elasticized waist and on-seam pockets. Exuding artful ease, it features a petal print and a plunging collared neckline."
#VALUE!,SS26 READY TO WEAR,S226-3004 SCP015 416689 PALE BLUSH AO PETALS,3,N/A,READY TO WEAR,S226,3004,SCP015,416689 PALE BLUSH AO PETALS,PAULINA DRESS,N,N,PORTUGAL,97% Cotton 3% Spandex,"The Paulina dress is styled with kimono-style sleeves and a flattering waist tie, then finished with discreet slip pockets. "
#VALUE!,SS26 READY TO WEAR,S226-3007 BYS084 000102 IVORY,3,N/A,READY TO WEAR,S226,3007,BYS084,000102 IVORY,DORA DRESS,N,N,ITALY,100% Polyester,"The Dora dress features a high neckline, a fitted bodice, and gathered detailing that creates soft draping throughout. The skirt falls with relaxed volume and includes a side slit for ease."
#VALUE!,SS26 READY TO WEAR,S226-3008 SCQ015 374484 AZURE STRIPE,3,N/A,READY TO WEAR,S226,3008,SCQ015,374484 AZURE STRIPE,FLOYD DRESS,Y,Y,ITALY,100% Cotton,The Floyd dress is designed with a shirt like silhouette. It  features a contrasting point collar and can be cinched at the waist with the matching wrap tie fastening.
#VALUE!,SS26 READY TO WEAR,S226-3010 BSP032 414001 BLACK LILY,3,N/A,READY TO WEAR,S226,3010,BSP032,414001 BLACK LILY,DAISY DRESS,Y,Y,ITALY,100% Silk,"The Daisy Dress features an enlarged lily flower design in contrasting hues. It has a shirred bodice, cap sleeves and gathering at the waist that creates delicate pleats through the mid-length skirt."
#VALUE!,SS26 READY TO WEAR,S226-3019 BSP024 416563 MAROON ALLOVER PETALS,3,N/A,READY TO WEAR,S226,3019,BSP024,416563 MAROON ALLOVER PETALS,KIERA DRESS,Y,N,ITALY,100% Silk,"The Kiera dress is shaped from silk to an airy A-line silhouette. Designed with a small point collar and short sleeves, it's finished with a slim waist belt and a dainty floral print."
#VALUE!,SS26 READY TO WEAR,S226-3022 AIS005 000400 NAVY,3,N/A,READY TO WEAR,S226,3022,AIS005,000400 NAVY,ORRIE DRESS,Y,N,ITALY,67% Linen 33% Viscose,"The Orrie dress showcases Altuzarra's feminine sensibility. Shaped from a linen blend, it's designed with a fitted bodice that flares out to a voluminous skirt. Note the vintage-inspired buttons, too."
#VALUE!,SS26 READY TO WEAR,S226-3024 SCP015 416689 PALE BLUSH PETALS,3,N/A,READY TO WEAR,S226,3024,SCP015,416689 PALE BLUSH PETALS,NADJA DRESS,Y,Y,ITALY,97% Cotton 3% Spandex,"The Nadja dress is a sleeveless, ankle-length silhouette crafted in a light, pale-blush print. It features a straight, relaxed cut that falls smoothly from shoulder to hem."
#VALUE!,SS26 READY TO WEAR,S226-3030 BSP024 413067 STORM TULIP,3,N/A,READY TO WEAR,S226,3030,BSP024,413067 STORM TULIP,NOORI DRESS,Y,Y,ITALY,100% Silk,The Noori dress is cut in Italy from silk and features a high neckline that drapes effortlessly into a maxi hemline.
#VALUE!,SS26 READY TO WEAR,S226-3034 BSP024 415067 STORM PETALS,3,N/A,READY TO WEAR,S226,3034,BSP024,415067 STORM PETALS,CHERIE DRESS,Y,Y,ITALY,100% Silk,The Cherie dress features a simple silk dress with a V-neck and falls to a maxi hemline. Its light blue color adorned with petals is perfect for transitioning into spring. 
#VALUE!,SS26 READY TO WEAR,S226-3035 BSP024 416067 STORM ALLOVER PETALS,3,N/A,READY TO WEAR,S226,3035,BSP024,416067 STORM ALLOVER PETALS,KIRSTY DRESS,Y,Y,ITALY,100% Silk,"The Kirsty dress is an Altuzarra signature, made from silk and adorned with petals. Designed with a wrap bodice, it falls to a dramatic, full skirt and is finished with short voluminous sleeves."
#VALUE!,SS26 READY TO WEAR,S226-4010 DCS021 000403 INDIGO,4,N/A,READY TO WEAR,S226,4010,DCS021,000403 INDIGO,MARGOT TOP,Y,Y,ITALY,100% Cotton,"The Margot top is a modern take on the classic shirt silhouette. Cut in Italy from cotton-poplin, it features a rounded collar with gold hammered buttons and subtle balloon sleeves."
#VALUE!,SS26 READY TO WEAR,S226-4013 BSP024 416067 STORM PETALS,4,N/A,READY TO WEAR,S226,4013,BSP024,416067 STORM PETALS,MAGEE TOP,Y,Y,PORTUGAL,100% Silk,"The Magee Top is a lightweight, long-sleeve blouse made from soft silk. It features a relaxed silhouette, a subtle stand collar, and a delicate floral print."
#VALUE!,SS26 READY TO WEAR,S226-4015 BSP024 416102 IVORY ALLOVER PETALS,4,N/A,READY TO WEAR,S226,4015,BSP024,416102 IVORY ALLOVER PETALS,CHIKA TOP,Y,Y,PORTUGAL,100% Silk,"The Chika top is a signature style made from silk. Capturing an easy elegance, the relaxed design features a small point collar and a concealed button front closure. "
#VALUE!,SS26 READY TO WEAR,S226-4015 BSP024 416563 MAROON ALLOVER PETALS,4,N/A,READY TO WEAR,S226,4015,BSP024,416563 MAROON ALLOVER PETALS,CHIKA TOP,N,N,PORTUGAL,100% Silk,"The Chika top is a signature style made from silk. Capturing an easy elegance, the relaxed design features a small point collar and a concealed button front closure. "
#VALUE!,SS26 READY TO WEAR,S226-4015 BSS033 000172 TAPIOCA,4,N/A,READY TO WEAR,S226,4015,BSS033,000172 TAPIOCA,CHIKA TOP,Y,N,PORTUGAL,100% Silk,"The Chika top is a signature style made from silk. Capturing an easy elegance, the relaxed design features a small point collar and a concealed button front closure. "
#VALUE!,SS26 READY TO WEAR,S226-4016 SCP015 416102 IVORY ALLOVER PETALS,4,N/A,READY TO WEAR,S226,4016,SCP015,416102 IVORY ALLOVER PETALS,SIGGI TOP,Y,Y,ITALY,97% Cotton 3% Spandex,"The Siggi top was first seen on the FW25 runway, paired with the Linnie skirt creating an ethereal look.It's detailed with side ties that can be used to cinch the waist or left to hang loose."
#VALUE!,SS26 READY TO WEAR,S226-5003 BYP050 416067 STORM PETALS,5,N/A,READY TO WEAR,S226,5003,BYP050,416067 STORM PETALS,MONTI SKIRT,Y,Y,ITALY,100% Polyester,The Monti skirt is a glamorous day-to-night option. The pleated design is made in Italy to a voluminous A-line shape with a fitted waistband and a concealed side zip.
#VALUE!,SS26 READY TO WEAR,S226-5017 SCP015 416102 IVORY PETALS,5,N/A,READY TO WEAR,S226,5017,SCP015,416102 IVORY PETALS,LINNIE SKIRT,Y,Y,ITALY,97% Cotton 3% Spandex,"The Linnie Skirt is defined by its petal motifs and falls to a clean, elongated maxi silhouette."
#VALUE!,SS26 READY TO WEAR,S226-6003 AWS016 000182 TAHINI,6,N/A,READY TO WEAR,S226,6003,AWS016,000182 TAHINI,CHAPMAN PANT,Y,N,ITALY,100% Wool,"The Chapman pants are cut in Italy from wool. Designed with a high waist and a voluminous, pleated silhouette, they fall into buttoned cuffs for a clean, structured look."
#VALUE!,SS26 READY TO WEAR,S226-6007 AIM001 000479 MIDNIGHT MELANGE,6,N/A,READY TO WEAR,S226,6007,AIM001,000479 MIDNIGHT MELANGE,DASH PANT,Y,Y,ITALY,57% Linen 41% Cotton 2% Elastane,"The Dash pants highlight Altuzarra's focus on tailoring. They feature a cropped, dramatized barrel leg and are finished with neat pleats."
#VALUE!,SS26 READY TO WEAR,S226-6007 AIQ003 000147 MORTAR MELANGE,6,N/A,READY TO WEAR,S226,6007,AIQ003,000147 MORTAR MELANGE,DASH PANT,Y,N,ITALY,68% Linen 32% Viscose,"The Dash pants highlight Altuzarra's focus on tailoring. They feature a cropped, dramatized barrel leg and are finished with neat pleats."
#VALUE!,SS26 READY TO WEAR,S226-6014 AIM001 000479 MIDNIGHT MELANGE,6,N/A,READY TO WEAR,S226,6014,AIM001,000479 MIDNIGHT MELANGE,FOSSETT PANT,N,N,ITALY,57% Linen 41% Cotton 2% Elastane, The Fossett pants are expertly tailored in Italy with a hint of stretch for the perfect fit. They're designed with a high-rise waist and a bootcut hem.
#VALUE!,SS26 READY TO WEAR,S226-6014 AIQ003 000147 MORTAR MELANGE,6,N/A,READY TO WEAR,S226,6014,AIQ003,000147 MORTAR MELANGE,FOSSETT PANT,Y,N,ITALY,68% Linen 32% Viscose,The Fossett pants are expertly tailored in Italy with a hint of stretch for the perfect fit. They're designed with a high-rise waist and a bootcut hem.
#VALUE!,SS26 READY TO WEAR,S226-6014 AWQ015 000182 TAHINI MELANGE,6,N/A,READY TO WEAR,S226,6014,AWQ015,000182 TAHINI MELANGE,FOSSETT PANT,Y,Y,ITALY,100% Virgin wool,The Fossett pants are expertly tailored in Italy from wool with a hint of stretch for the perfect fit. They're designed with a high-rise waist and a bootcut hem.
#VALUE!,SS26 READY TO WEAR,S226-6022 AIS005 000400 NAVY,6,N/A,READY TO WEAR,S226,6022,AIS005,000400 NAVY,TODD PANT,Y,Y,ITALY,67% Linen 33% Viscose,"The Todd Pant is a classic tailored style, cut to a straight leg with a crisp crease detail. They feature slip side pockets and a zip closure."
#VALUE!,SS26 HANDBAGS,S226-7155 STS002 000122 MOUTON,71,N/A,HANDBAGS,S226,7155,STS002,000122 MOUTON,KNOT BASKET SMALL,Y,N,SPAIN,90% STRAW 10% CALF LEATHER,The small Knot basket bag is the ultimate transitional accessory. It's made in Spain with a woven raffia base which is contrasted by a leather top panel. Note the shoulder straps finished with knotted ends.
#VALUE!,SS26 HANDBAGS,S226-7155 STS007 381001 BLACK/SILVER,71,N/A,HANDBAGS,S226,7155,STS007,381001 BLACK/SILVER,KNOT BASKET SMALL,Y,N,SPAIN,90% PALM 10% CALF LEATHER,The small Knot basket bag is the ultimate transitional accessory. It's made in Spain with a woven raffia base which is contrasted by a black studded leather top panel. Note the shoulder straps finished with knotted ends.
,SS26 HANDBAGS,S226-7157 STS002 000122 MOUTON,71,N/A,HANDBAGS,S226,7157,STS002,000122 MOUTON,BASKET CLUTCH,Y,N,SPAIN,90% PALM 10% CALF LEATHER,The Basket clutch is aptly named thanks to its part woven construction. The open-top style is finished with a brown leather trim and stamped with the brand logo.
