handle,product_id,cpi,title,status,client_recommendation,errors,warnings
arp-dress-black,S226-8301 KCS049 000001 BLACK,8301-000001,Arp Dress,NO-GO,Hold – ghost image required,Missing ghost image,Unknown KNIT CATEGORY CODE
arp-dress-toffee,S226-8301 KCS049 000258 TOFFEE,8301-000258,Arp Dress,NO-GO,Hold – ghost image required,Missing ghost image,Unknown KNIT CATEGORY CODE
arthur-top-azure-stripe,S226-4004 SCQ015 374484 AZURE STRIPE,4004-374484,Arthur Top,NO-GO,Hold – investigate,Product ID not found in masterfile,
arthur-top-optic-white,S226-4004 SCS011 000100 OPTIC WHITE,4004-000100,Arthur Top,NO-GO,Hold – investigate,Product ID not found in masterfile,
basket-clutch-pale-blush,S226-7157 STS002 000689 PALE BLUSH,7157-000689,Basket Clutch,NO-GO,Hold – ghost image required,Missing ghost image,
basket-clutch-tahini-silver,S226-7157 STS007 381182 TAHINI/SILVER,7157-381182,Basket Clutch,NO-GO,Hold – ghost image required,Missing ghost image,
chapman-pant-tahini,S226-6003 AWS016 000182 TAHINI,6003-000182,Chapman Pant,NO-GO,Hold – ghost image required,Missing ghost image,
cherie-dress-storm-petals,S226-3034 BSP024 415067 STORM PETALS,3034-415067,Cherie Dress,NO-GO,Hold – ghost image required,Missing ghost image,
chika-top-ivory-allover-petals,S226-4015 BSP024 416102 IVORY ALLOVER PETALS,4015-416102,Chika Top,NO-GO,Hold – ghost image required,Missing ghost image,
chika-top-maroon-allover-petals,S226-4015 BSP024 416563 MAROON ALLOVER PETALS,4015-416563,Chika Top,NO-GO,Hold – ghost image required,Missing ghost image,
chika-top-tapioca,S226-4015 BSS033 000172 TAPIOCA,4015-000172,Chika Top,NO-GO,Hold – ghost image required,Missing ghost image,
clay-sweater-black,S226-8807 KCS049 000001 BLACK,8807-000001,Clay Sweater,NO-GO,Hold – ghost image required,Missing ghost image,Unknown KNIT CATEGORY CODE
clay-sweater-desert-sage,S226-8807 KCS049 000398 DESERT SAGE,8807-000398,Clay Sweater,NO-GO,Hold – ghost image required,Missing ghost image,Unknown KNIT CATEGORY CODE
daisy-dress-black-lily,S226-3010 BSP032 414001 BLACK LILY,3010-414001,Daisy Dress,NO-GO,Hold – ghost image required,Missing ghost image,
dash-pant-midnight-melange,S226-6007 AIM001 000479 MIDNIGHT MELANGE,6007-000479,Dash Pant,NO-GO,Hold – ghost image required,Missing ghost image,
dash-pant-mortar-melange,S226-6007 AIQ003 000147 MORTAR MELANGE,6007-000147,Dash Pant,NO-GO,Hold – ghost image required,Missing ghost image,
dora-dress-ivory,S226-3007 BYS084 000102 IVORY,3007-000102,Dora Dress,NO-GO,Hold – ghost image required,Missing ghost image,
erik-top-black,S226-8401 KYS078 000001 BLACK,8401-000001,Erik Top,NO-GO,Hold – ghost image required,Missing ghost image,Unknown KNIT CATEGORY CODE
erik-top-ivory,S226-8401 KYS078 000102 IVORY,8401-000102,Erik Top,NO-GO,Hold – investigate,Product ID not found in masterfile,
fenice-jacket-midnight-melange,S226-2003 AIM001 000479 MIDNIGHT MELANGE,2003-000479,Fenice Jacket,NO-GO,Hold – ghost image required,Missing ghost image,
fenice-jacket-mortar-melange,S226-2003 AIQ003 000147 MORTAR MELANGE,2003-000147,Fenice Jacket,NO-GO,Hold – ghost image required,Missing ghost image,
fenice-jacket-tahini-melange,S226-2003 AWQ015 000182 TAHINI MELANGE,2003-000182,Fenice Jacket,NO-GO,Hold – ghost image required,Missing ghost image,
floyd-dress-azure-stripe,S226-3008 SCQ015 374484 AZURE STRIPE,3008-374484,Floyd Dress,NO-GO,Hold – ghost image required,Missing ghost image,
fossett-pant-midnight-melange,S226-6014 AIM001 000479 MIDNIGHT MELANGE,6014-000479,Fossett Pant,NO-GO,Hold – ghost image required,Missing ghost image,
fossett-pant-mortar-melange,S226-6014 AIQ003 000147 MORTAR MELANGE,6014-000147,Fossett Pant,NO-GO,Hold – ghost image required,Missing ghost image,
fossett-pant-tahini-melange,S226-6014 AWQ015 000182 TAHINI MELANGE,6014-000182,Fossett Pant,NO-GO,Hold – ghost image required,Missing ghost image,
