Internal ID,FLAT_IMAGES,DESCRIPTION,TAGS,SWATCH,DETAILS,LOOK_IMAGE
S126-7151 LLC036 000001 BLACK,x,x,x,,x,
S126-7152 LLC036 000001 BLACK,x,x,x,,x,
S126-1001 LLS055 000001 BLACK,,x,x,,,
S126-1008 AWM040 000182 TAHINI MELANGE,x,x,x,x,x,x
S126-2002 ACQ011 000397 GREEN LILY,,x,x,,,
S126-2003 AWS680 000563 MAROON,,x,x,,,
S126-2012 LLS034 000563 MAROON,,x,x,,,
S126-2012 LUS003 000265 GOLDEN OAK,,x,x,,,
S126-2021 LLS002 000267 TOBACCO,,x,x,,,
S126-3005 BSP032 371182 TAHINI GOOSE,,x,x,,,
S126-3008 BYP058 373102 IVORY ANIMAL,,x,x,,,
S126-3014 BYP057 373398 DESERT SAGE ANIMAL,,x,x,,,
S126-3017 BSP038 417102 IVORY APPLIQUE FLOWERS,,x,x,,,
S126-3018 JYS019 000605 GRENADINE,,x,x,,,
S126-3019 BSP031 416102 IVORY FLOWERS,,x,x,,,
S126-3019 SCS011 000406 BERRY BLUE,,x,x,,,
S126-3022 ACQ011 000397 GREEN LILY,,x,x,,,
S126-3029 JYP012 373001 BLACK ANIMAL,,x,x,,,
S126-3033 BYP058 373398 DESERT SAGE ANIMAL,,x,x,,,
S126-3049 LLS033 000001 BLACK,,x,x,,,
S126-3050 ZYS008 000171 MACADAMIA,,x,x,,,
S126-3052 BSP024 418001 BLACK FLOWERS,,x,x,,,
S126-4008 BSP024 418067 STORM FLOWERS,,x,x,,,
S126-4008 ZYS008 000171 MACADAMIA,,x,x,,,
S126-4015 BSP031 418001 BLACK FLOWERS,,x,x,,,
S126-4015 BYP058 373102 IVORY ANIMAL,,x,x,,,
S126-5004 BYP058 373001 BLACK ANIMAL,,x,x,,,
S126-5013 ACQ011 000397 GREEN LILY,,x,x,,,
S126-5013 BSP024 418067 STORM FLOWERS,,x,x,,,
S126-5013 BSP031 418001 BLACK FLOWERS,,x,x,,,
S126-5016 LLS034 000001 BLACK,,x,x,,,
S126-5017 ZYS008 000171 MACADAMIA,,x,x,,,
S126-5018 ACS017 000445 NIGHTFALL,,x,x,,,
